pressure: 1015.873, temp: -0.2074904,  time: 5150.883
pressure: 1015.836, temp: -0.2270669,  time: 5164.622
pressure: 1015.873, temp: -0.2074904,  time: 5178.323
pressure: 1015.625, temp: -0.2074904,  time: 5192.041
pressure: 1015.797, temp: -0.2466465,  time: 5205.766
pressure: 1016.543, temp: -0.2466465,  time: 5219.48
pressure: 1016.009, temp: -0.2662267,  time: 5233.18
pressure: 1015.549, temp: -0.2466465,  time: 5246.907
pressure: 1015.797, temp: -0.2466465,  time: 5260.643
pressure: 1016.009, temp: -0.2662267,  time: 5274.369
pressure: 1015.873, temp: -0.2074904,  time: 5288.137
pressure: 1015.76, temp: -0.2662267,  time: 5301.901
pressure: 1015.549, temp: -0.2466465,  time: 5315.6
pressure: 1016.046, temp: -0.2466465,  time: 5329.306
pressure: 1015.722, temp: -0.2858099,  time: 5343.037
pressure: 1015.511, temp: -0.2662267,  time: 5356.834
pressure: 1016.009, temp: -0.2662267,  time: 5370.59
pressure: 1015.797, temp: -0.2466465,  time: 5384.372
pressure: 1016.219, temp: -0.2858099,  time: 5398.108
pressure: 1016.084, temp: -0.2270669,  time: 5411.859
pressure: 1016.009, temp: -0.2662267,  time: 5425.467
pressure: 1015.684, temp: -0.3053938,  time: 5439.088
pressure: 1015.722, temp: -0.2858099,  time: 5452.736
pressure: 1015.511, temp: -0.2662267,  time: 5466.367
pressure: 1015.722, temp: -0.2858099,  time: 5479.984
pressure: 1015.76, temp: -0.2662267,  time: 5493.621
pressure: 1015.933, temp: -0.3053938,  time: 5507.297
pressure: 1016.219, temp: -0.2858099,  time: 5520.913
pressure: 1015.511, temp: -0.2662267,  time: 5534.538
pressure: 1015.933, temp: -0.3053938,  time: 5548.184
pressure: 1015.76, temp: -0.2662267,  time: 5561.827
pressure: 1016.181, temp: -0.3053938,  time: 5575.526
pressure: 1015.76, temp: -0.2662267,  time: 5589.188
pressure: 1015.436, temp: -0.3053938,  time: 5602.845
pressure: 1016.219, temp: -0.2858099,  time: 5616.545
pressure: 1015.722, temp: -0.2858099,  time: 5630.218
pressure: 1015.971, temp: -0.2858099,  time: 5643.866
pressure: 1015.684, temp: -0.3053938,  time: 5657.53
pressure: 1015.971, temp: -0.2858099,  time: 5671.167
pressure: 1015.397, temp: -0.3249807,  time: 5684.819
pressure: 1015.646, temp: -0.3249807,  time: 5698.511
pressure: 1015.933, temp: -0.3053938,  time: 5712.158
pressure: 1015.894, temp: -0.3249807,  time: 5725.863
pressure: 1015.722, temp: -0.2858099,  time: 5739.512
pressure: 1015.684, temp: -0.3053938,  time: 5753.167
pressure: 1015.971, temp: -0.2858099,  time: 5766.832
pressure: 1016.392, temp: -0.3249807,  time: 5780.488
pressure: 1015.722, temp: -0.2858099,  time: 5794.199
